red_five_touch	붉은 손길	dora	anti:	antiIds:	conflicts:	(게임 내 1회 · 리치 중에는 쓸 수 없다) 자기 순에 숫자 하나(1~9)를 지정하면, 그 뒤로 내 손에 들어오는 그 숫자가 게임이 끝날 때까지 전부 적도라가 된다. 지정한 숫자는 전원에게 공개된다.
counter	카운터	riichi|opp_riichi|bank|disrupt	anti:	antiIds:	conflicts:	(매 국 1회) 나보다 먼저 리치를 건 상대에게 추격 리치로 반격한다 — 내가 **먼저 화료하면 그 상대가 받았을 점수까지 통째로 내가 받고**, 그 상대를 **직격 론**으로 잡으면 **+3판**을 얹는다.
avenger	복수자	relax_win|loss_gain	anti:	antiIds:	conflicts:late_bloomer|late_bloomer_east	(상시) 론으로 방총당하면 그 상대가 '원수'로 전원에게 공개되며, 원수의 버림패에 한해 후리텐이어도 역이 없어도 론할 수 있다.
ura_peek	이면투시	riichi_value|dora|wall_info	anti:	antiIds:	conflicts:	(매 국 1회 + 바꿔치기 1회) 자기 순에 뒷도라 표시패를 나만 확인한다. 확인한 국에는 1회, 첫 번째 뒷도라 표시패를 왕패의 다른 패와 바꿔치기할 수 있다.
take_back	무르기	tempo	anti:	antiIds:	conflicts:	(3순에 1회) 쯔모한 패를 전원에게 공개하고 패산 맨 밑에 되돌린 뒤 새로 1장을 뽑는다.
riichi_upgrade	이중 선언	riichi|riichi_value|riichi_deny	anti:opp_riichi	antiIds:riichi_seal	conflicts:	(상시) 리치를 선언하면 언제나 더블리치가 되고, 내 하가(다음 차례 사람)는 내가 그 리치를 지고 있는 동안 리치를 걸 수 없게 된다.
free_riichi_discard	자유 선언	riichi|menzen	anti:	antiIds:	conflicts:last_stand|palm_flip	(상시) 리치를 걸면 그 순간의 손패로 오름패가 고정되고, 이후 자기 순마다 손패에서 아무 패나 자유롭게 버릴 수 있다.
peek_riichi_waits	선언 간파	opp_riichi|opp_info	anti:	antiIds:	conflicts:	(매 국 1회 + 위조 1회) 자기 순에 리치 중인 상대 하나를 골라 그 오름패를 공짜로 확인한다. 간파한 국에 한해 1회, 내 손패 1장을 간파한 오름패로 바꿔 만들 수 있다.
xray_hand	투시	opp_info	anti:	antiIds:	conflicts:	(동풍전 1회 · 반장전 2회) 자기 순에 발동하면 그 국이 끝날 때까지 상대 세 명의 손패가 전부 나에게만 보인다.
rinshan_preview	영상 정찰	kan|wall_info	anti:	antiIds:dead_wall_master	conflicts:	(상시 열람 · 매 국 1회) 남은 영상패를 항상 나만 볼 수 있고, 자기 순에 그 순서를 마음대로 다시 짠다. 그때 한 장을 고르면 내 쯔모패와 맞바꾸고, 고르지 않으면 순서만 확정된다.
yakuman_shield	역만 방어술	defense	anti:	antiIds:	conflicts:	(상시 · 횟수 제한 없음) 역만(유국역만 포함) 피해를 막고, 배만·삼배만은 절반만 맞는다 — 내가 낸 몫이 그만큼 돌아온다. 본장·공탁 부담은 그대로 낸다.
omni_chi	사방치기	call|tempo	anti:	antiIds:	conflicts:	(상시) 상가뿐 아니라 누구의 버림패로도 치할 수 있다.
pseudo_dealer	찬탈자	dealer|disrupt	anti:	antiIds:	conflicts:	(2국에 1회) 자기 순에 선언하면 그 자리에서 오야를 빼앗는다 — 오야 자리가 나에게 넘어오고 자풍이 나를 기준으로 다시 정해진다.
last_stand	승부수	riichi|defense	anti:	antiIds:	conflicts:	(매 국 1회) 리치 중이라면 자기 순에 언제든 자신의 리치를 취소할 수 있다. 취소하면 냈던 리치봉을 돌려받고 다시 자유롭게 버릴 수 있다.
die_hard	죽기살기	loss_gain	anti:defense	antiIds:	conflicts:yakuman_shield|invincible|no_ron_pact|always_tenpai	(게임 내 1회) 내 점수가 12,500점 이하일 때 국에서 잃은 점수가 그대로 플러스로 뒤집힌다 — 8,000점을 방총하면 상대도 나도 +8,000점.
hidden_blade	숨은 칼날	menzen|dora	anti:riichi	antiIds:soul_hunt	conflicts:soul_hunt	(상시) 리치를 선언하지 않은 멘젠 론 화료에 +2판이 붙고, 뒷도라가 적용된다.
tile_dyeing	염색	hand_edit|suit	anti:	antiIds:	conflicts:	(동풍전 5회 · 반장전 8회) 자기 순에 한 번, 손패의 수패 1장을 같은 숫자의 다른 무늬로 바꾼다(예: 3만 → 3통). 리치 중에도 쓸 수 있다.
scapegoat	덤터기	payout|disrupt	anti:	antiIds:	conflicts:	(매 국 1회) 자기 순에 상대 한 명을 공개 지목한다. 지목해 둔 국에 내가 쯔모로 화료하면 **+2판**을 얻고, 그 쯔모 점수 전액을 지목당한 사람 혼자 낸다.
let_it_ride	판돈 굴리기	han	anti:	antiIds:	conflicts:	(상시) 연속으로 화료할수록 **손의 점수**에 붙는 배수가 오른다 — 1배·2배·3배, 4연속 이상은 4배. 본장·공탁은 대상이 아니다.
open_riichi_reveal	오픈 리치	riichi|riichi_declare|riichi_open	anti:riichi_declare	antiIds:	conflicts:last_stand|palm_flip|tile_dyeing	(매 국 1회 · 리치는 국당 한 번) 멘젠 텐파이에서 공탁 1,000점을 걸고 오픈 리치를 선언한다 — 오름패가 전원에게 공개된다.
invincible	천하무적	defense	anti:	antiIds:no_ron_pact	conflicts:no_ron_pact	(동풍전 2국 · 반장전 3국에 1회) 자기 순에 선언하면 이번 국이 끝날 때까지 상대는 내 버림패로 론할 수 없다. 내 가깡을 창깡당하는 것은 막지 못한다.
hidden_river	안개 덮인 바닥	river|opp_info	anti:	antiIds:brief_fog	conflicts:	(동풍전 1회 · 반장전 2회) 자기 순에 선언하면 그 국이 끝날 때까지 네 사람 모두의 바닥에서 최근 6장만 공개되고, 그 앞의 버림패는 장수만 보인다. 보유자만 네 바닥을 그대로 읽는다.
suit_unify	단색 세계	hand_edit|suit	anti:	antiIds:	conflicts:	(동풍전 1회 · 반장전 2회 · 매 국 1회) **국의 첫 순에만** 발동한다. 만·통·삭 중 색을 골라 손패의 수패를 전부 그 색으로 바꾼다. 숫자는 그대로다.
hand_swap3	등가교환	hand_edit|opp_info	anti:	antiIds:	conflicts:	(동풍전 2회 · 반장전 3회 · 매 국 1회) 자기 순에 상대 한 명을 지정해 손패를 보고, 넘길 내 3장과 가져올 상대 3장을 골라 맞바꾼다. 리치를 선언한 상대는 지정할 수 없다.
full_hand_swap	통째로 바꾸기	hand_edit|opp_info	anti:	antiIds:	conflicts:	(동풍전 2회 · 반장전 3회) 내 첫 순에 상대를 지정해 그 손패를 통째로 강탈한다. 고를 때 내 손보다 완성이 빠른 상대에게 표식이 붙는다. 내 손패는 패산 맨 밑으로 들어가고, 상대는 패산에서 새로 받는다. 리치를 선언한 상대에게는 쓸 수 없다.
discard_lock	봉인술사	disrupt	anti:	antiIds:	conflicts:	(2국에 1회) 자기 순의 국 시작에 발동하면, 상대 각자의 손패에서 무작위 수패 2종류를 골라 그 종류마다 한 장씩, 이번 국 동안 버릴 수 없게 잠근다.
tanyao_break	탕야오 해방	tanyao	anti:	antiIds:	conflicts:	(상시) 자패 없이 수패로만 이루어진 손이면 1·9가 섞여 있어도 탕야오로 인정되며, 그 탕야오를 2판으로 취급한다.
