red_five_touch	붉은 손길	silver	(게임 내 1회 · 리치 중에는 쓸 수 없다) 자기 순에 숫자 하나(1~9)를 지정하면, 그 뒤로 내 손에 들어오는 그 숫자가 게임이 끝날 때까지 전부 적도라가 된다. 지정한 숫자는 전원에게 공개된다.	(게임 내 1회) 발동 시점의 손패, 이후의 쯔모, 다음 국 배패까지 계속 적용된다. 손에 없는 숫자는 고를 수 없다.  이 적도라에는 소유자가 각인되어, 버린 패를 상대가 후로로 가져가도 상대의 점수로는 세지 않는다. 각인은 **손패에 들어올 때만** 붙어, 후로로 가져온 패에는 붙지 않는다.
counter	카운터	silver	(매 국 1회) 나보다 먼저 리치를 건 상대에게 추격 리치로 반격한다 — 내 공탁 1,000점을 그 상대가 대납하고 그 상대의 일발이 사라진다.	(매 국 1회) 대상은 그 국에 **가장 먼저 리치를 건 한 사람**뿐이고, 대납액은 그 상대의 남은 점수까지만이다. 내가 먼저 화료하면 그 상대가 받았을 점수를 뱅크에서 더 받고, 그 상대의 버림패를 직격 론으로 잡으면 +4판까지 얻는다.
avenger	복수자	silver	(상시) 론으로 방총당하면 그 상대가 '원수'로 전원에게 공개되며, 원수의 버림패에 한해 후리텐이어도 역이 없어도 론할 수 있다.	(상시) 원수를 론으로 잡으면 그 화료에 +2판이 얹히고(역만에는 미적용) 원한이 풀려 해제된다. 원수의 가깡을 창깡으로 잡는 것도 같은 판정에 들어간다.  쯔모나 다른 사람 론에는 판이 붙지 않는다. 다른 사람에게 방총당하면 원수가 그쪽으로 갱신되며, 방총당하기 전까지는 아무 효과도 없다.  ⚠ 함께 가질 수 없다 — 대기만성 (반장전) · 대기만성 (동풍전). 둘 다 후리텐·무역 해제를 열어 만개 구간에서 통째로 중복된다.
ura_peek	이면투시	silver	(매 국 1회 + 바꿔치기 1회) 자기 순에 뒷도라 표시패를 나만 확인한다. 확인한 국에는 1회, 첫 번째 뒷도라 표시패를 왕패의 다른 패와 바꿔치기할 수 있다.	(매 국 1회 + 바꿔치기 1회) 한 번 열면 그 국 동안 유지되어, 깡으로 뒷도라가 늘면 새 표시패도 자동으로 보인다. 바꿔치기 상대는 왕패의 **영상패**뿐이다 — 도라·뒷도라 표시패 자리는 뒤집혔든 아니든 건드릴 수 없다.  바꿔치기를 쓰기 전까지 왕패 전체가 자신에게만 보인다. 국이 바뀌면 확인한 정보는 지워진다.
take_back	무르기	silver	(3순에 1회) 쯔모한 패를 전원에게 공개하고 패산 맨 밑에 되돌린 뒤 새로 1장을 뽑는다.	(3순에 1회) 한 번 쓰면 내 순이 세 번 지나야 다시 열리고, 국이 바뀌면 즉시 초기화된다. 되돌린 패는 패산 맨 밑으로 들어가므로 패산의 총량은 변하지 않는다.  리치 중이거나 영상깡으로 뽑은 패, 패산이 비었을 때는 쓸 수 없다.
riichi_upgrade	이중 선언	gold	(상시) 리치를 선언하면 언제나 더블리치가 되고, 내 하가(다음 차례 사람)는 내가 그 리치를 지고 있는 동안 리치를 걸 수 없게 된다.	(상시) 봉인된 하가는 리치·일발·뒷도라를 통째로 잃는다. 봉인은 **내가 그 리치를 지고 있는 동안**만 이어지고, 이미 리치를 건 사람에게는 소급하지 않으며 봉인 대상은 전원에게 공개된다.  이 증강이 없었어도 더블리치였을 리치라면 트리플리치가 되어 리치가 4판으로 값한다(역만에는 미적용).  ⚠ 함께 가질 수 없다 — 리치 봉인 · 스텔스 리치.
free_riichi_discard	자유 선언	gold	(상시) 리치를 걸면 그 순간의 손패로 오름패가 고정되고, 이후 자기 순마다 손패에서 아무 패나 자유롭게 버릴 수 있다.	고정된 손패를 기준으로 오름패·화료형·텐파이·후리텐이 판정되고, 화료 시 공개되는 손패도 첫 리치 때의 모습이다.  물리 손패를 아무리 바꿔도 오름패는 변하지 않는다. 대기패를 버리면 후리텐은 그대로 걸리며, 리치 뒤에는 깡을 칠 수 없다.  ⚠ 함께 가질 수 없다 — 승부수 · 손바닥 뒤집기. 둘 다 리치를 무르는데, 이 증강은 선언 시점의 손패를 국 내내 고정한다.
peek_riichi_waits	선언 간파	gold	(매 국 1회 + 위조 1회) 자기 순에 리치 중인 상대 하나를 골라 그 오름패를 공짜로 확인한다. 간파한 국에 한해 1회, 내 손패 1장을 간파한 오름패로 바꿔 만들 수 있다.	(매 국 1회 + 위조 1회) 확인 결과는 나만 보며, 알아낸 대기는 그 국에만 유효하다. 위조는 간파한 국에만 되고 **내가 리치를 걸기 전에만** 된다 — 리치를 걸면 손이 잠긴다.
xray_hand	투시	gold	(동풍전 1회 · 반장전 2회) 자기 순에 발동하면 그 국이 끝날 때까지 상대 세 명의 손패가 전부 나에게만 보인다.	(동풍전 1회 · 반장전 2회) 자기 순에 버튼으로 발동한다. 상대 손패는 배패부터 마지막 쯔모까지 나에게만 보이며, 켠 사실은 전원에게 공개된다.
rinshan_preview	영상 정찰	gold	(상시 열람 · 매 국 1회 교환) 다음 깡에서 가져올 영상패(왕패 맨 앞 1장)를 항상 나만 볼 수 있고, 자기 순에 깡을 하지 않고도 그 영상패를 내 쯔모패와 맞바꾼다.	(상시 열람 · 매 국 1회 교환) 맞바꾼 쯔모패가 왕패 맨 앞자리로 들어가므로 왕패 장수는 그대로이고, 다음 영상패는 방금 내가 넣은 그 패가 된다.  열람은 나만 하지만 **교환은 전원에게 공개된다** — 다만 내가 넣은 패가 무엇인지는 공개되지 않는다. 남은 영상패가 없으면 열람도 교환도 닫힌다.
