epoch	rss_kb	cpu_pct	healthz
1787881652	 48288   1.6	{"ok":true,"uptimeSec":8,"wsClients":0,"faults":{"uncaught":0,"rejection":0},"connections":0,"anonymous":0,"anonymousMax":120,"rooms":0,"playing":0,"waiting":0}
1787881667	 47456   0.0	{"ok":true,"uptimeSec":24,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881682	 47456   0.0	{"ok":true,"uptimeSec":39,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881698	 47456   0.0	{"ok":true,"uptimeSec":54,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881713	 47456   0.0	{"ok":true,"uptimeSec":69,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881728	 47456   0.0	{"ok":true,"uptimeSec":84,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881743	 47456   0.0	{"ok":true,"uptimeSec":99,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881758	 47456   0.0	{"ok":true,"uptimeSec":114,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881773	 47456   0.0	{"ok":true,"uptimeSec":129,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":15,"waiting":1}
1787881788	 47456   0.0	{"ok":true,"uptimeSec":144,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881803	 47456   0.0	{"ok":true,"uptimeSec":159,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881818	 47456   0.0	{"ok":true,"uptimeSec":174,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
1787881833	 47456   0.0	{"ok":true,"uptimeSec":189,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":15,"waiting":1}
1787881848	 47456   0.0	{"ok":true,"uptimeSec":204,"wsClients":64,"faults":{"uncaught":0,"rejection":0},"connections":64,"anonymous":0,"anonymousMax":120,"rooms":16,"playing":16,"waiting":0}
